REGION TYPE,REGION,YEAR,WEEK,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,South Carolina,2013,52,2.86885,105,15,3660
States,South Dakota,2013,52,2.21993,86,24,3874
States,Tennessee,2013,52,7.30007,335,50,4589
States,Texas,2013,52,11.0449,3594,119,32540
States,Utah,2013,52,5.39844,985,41,18246
States,Vermont,2013,52,4.66445,98,10,2101
States,Virginia,2013,52,3.4295,2532,112,73830
States,Washington,2013,52,2.24373,51,16,2273
States,West Virginia,2013,52,1.9583,201,46,10264
States,Wisconsin,2013,52,3.02158,42,33,1390
States,Wyoming,2013,52,1.88179,71,23,3773
States,Puerto Rico,2013,52,0,0,0,0
States,Virgin Islands,2013,52,1.83246,7,1,382
States,New York City,2013,52,3.51214,2979,68,84820
States,Alabama,2014,1,6.91366,808,29,11687
States,Alaska,2014,1,3.92749,78,6,1986
States,Arizona,2014,1,2.11664,470,62,22205
States,Arkansas,2014,1,8.09035,197,17,2435
States,California,2014,1,5.1101,1397,137,27338
States,Colorado,2014,1,2.83499,512,9,18060
States,Connecticut,2014,1,1.39241,11,12,790
States,Delaware,2014,1,1.84014,32,11,1739
States,District of Columbia,2014,1,16.3476,111,3,679
States,Florida,2014,1,X,X,X,X
States,Georgia,2014,1,3.58021,961,41,26842
States,Hawaii,2014,1,2.95858,25,15,845
States,Idaho,2014,1,8.42142,239,10,2838
States,Illinois,2014,1,4.44242,1995,101,44908
States,Indiana,2014,1,4.01657,223,39,5552
States,Iowa,2014,1,0.536949,139,21,25887
States,Kansas,2014,1,5.3431,299,32,5596
States,Kentucky,2014,1,1.92635,373,17,19363
States,Louisiana,2014,1,8.01288,3234,61,40360
States,Maine,2014,1,1.12263,39,32,3474
States,Maryland,2014,1,3.02808,206,22,6803
States,Massachusetts,2014,1,1.93805,326,57,16821
States,Michigan,2014,1,3.56317,370,51,10384
States,Minnesota,2014,1,3.34739,127,20,3794
States,Mississippi,2014,1,7.49913,1296,42,17282
States,Missouri,2014,1,5.92605,351,25,5923
States,Montana,2014,1,2.97143,52,7,1750
States,Nebraska,2014,1,1.87768,35,15,1864
States,Nevada,2014,1,3.68822,644,43,17461
States,New Hampshire,2014,1,0.384212,11,27,2863
States,New Jersey,2014,1,3.74359,219,26,5850
States,New Mexico,2014,1,6.53901,642,27,9818
States,New York,2014,1,2.97304,258,152,8678
States,North Carolina,2014,1,3.91786,414,54,10567
States,North Dakota,2014,1,2.71769,49,11,1803
States,Ohio,2014,1,2.31029,239,48,10345
States,Oklahoma,2014,1,6.62417,239,21,3608
States,Oregon,2014,1,5.00275,91,17,1819
States,Pennsylvania,2014,1,3.24514,222,47,6841
States,Rhode Island,2014,1,0.77415,23,20,2971
States,South Carolina,2014,1,2.62621,103,15,3922
States,South Dakota,2014,1,2.19493,109,24,4966
States,Tennessee,2014,1,6.56244,361,53,5501
States,Texas,2014,1,9.17567,3415,121,37218
States,Utah,2014,1,3.5726,656,42,18362
States,Vermont,2014,1,4.38635,99,10,2257
States,Virginia,2014,1,3.88364,3040,112,78277
States,Washington,2014,1,2.40189,71,16,2956
States,West Virginia,2014,1,3.02139,370,45,12246
States,Wisconsin,2014,1,2.05023,40,31,1951
States,Wyoming,2014,1,2.4724,103,24,4166
States,Puerto Rico,2014,1,3.00429,21,1,699
States,Virgin Islands,2014,1,2.17391,8,1,368
States,New York City,2014,1,3.54888,2850,68,80307
States,Alabama,2014,2,5.12425,598,29,11670
States,Alaska,2014,2,3.4096,76,8,2229
States,Arizona,2014,2,1.98886,575,61,28911
States,Arkansas,2014,2,6.71369,257,18,3828
States,California,2014,2,4.61744,1866,138,40412
States,Colorado,2014,2,2.41081,571,10,23685
States,Connecticut,2014,2,1.40479,27,18,1922
States,Delaware,2014,2,2.02367,53,11,2619
States,District of Columbia,2014,2,13.3748,172,3,1286
States,Florida,2014,2,X,X,X,X
States,Georgia,2014,2,2.28367,735,44,32185
States,Hawaii,2014,2,3.61589,61,16,1687
States,Idaho,2014,2,6.52052,232,10,3558
States,Illinois,2014,2,3.44904,1716,107,49753
States,Indiana,2014,2,3.49933,208,39,5944
States,Iowa,2014,2,0.572124,174,21,30413
States,Kansas,2014,2,4.56558,299,33,6549
States,Kentucky,2014,2,1.74694,325,16,18604
